Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2022-02-19,Uncharted,2022,https://boxd.it/2AIAIV,3.5,,,2022-02-18
2022-02-20,The Suicide Squad,2021,https://boxd.it/2AYsFL,3.5,Yes,,2022-02-19
2022-02-23,Pirates of the Caribbean: On Stranger Tides,2011,https://boxd.it/2Bwwwr,2.5,Yes,,2022-02-22
2022-02-23,Death on the Nile,2022,https://boxd.it/2BzeNv,2.5,,,2022-02-22
2022-02-25,Pirates of the Caribbean: Dead Men Tell No Tales,2017,https://boxd.it/2BXTnh,2,Yes,,2022-02-23
2022-02-27,Coco,2017,https://boxd.it/2Cf5yF,4.5,,,2022-02-26
2022-03-03,The Batman,2022,https://boxd.it/2CUNgR,4.5,,,2022-03-02
2022-03-05,Jungle Cruise,2021,https://boxd.it/2Df0v1,3,,,2022-03-04
2022-03-05,American Pie 2,2001,https://boxd.it/2DguAn,4,Yes,,2022-03-04
2022-03-07,Little Women,2019,https://boxd.it/2DH3Rb,4,Yes,,2022-03-06
2022-03-08,Prometheus,2012,https://boxd.it/2DUiZl,2.5,Yes,,2022-03-07
2022-03-12,Elsewhere - Alone in Africa,2018,https://boxd.it/2EAu7z,3.5,,,2022-03-11
2022-03-14,The Lighthouse,2019,https://boxd.it/2F15dL,4.5,,,2022-03-13
2022-03-19,Red Notice,2021,https://boxd.it/2FV84f,3,,,2022-03-18
2022-03-21,The Power of the Dog,2021,https://boxd.it/2GkNJj,3.5,,,2022-03-20
2022-03-22,The Rescue,2021,https://boxd.it/2GxLYH,4,,,2022-03-21
2022-03-27,Alice in Wonderland,2010,https://boxd.it/2HrjMZ,2,,,2022-03-26
2022-03-27,West Side Story,2021,https://boxd.it/2HtBrp,3.5,,,2022-03-26
2022-04-02,The Hunger Games,2012,https://boxd.it/2ItbnF,3.5,Yes,,2022-04-01
2022-04-02,Now You See Me,2013,https://boxd.it/2Ium05,3.5,Yes,,2022-04-01
2022-04-03,The Hunger Games: Catching Fire,2013,https://boxd.it/2IFuPx,4,Yes,,2022-04-02
2022-04-04,The Adam Project,2022,https://boxd.it/2IOevT,3,,,2022-04-03
2022-04-04,Pam & Tommy,2022,https://boxd.it/2ISonN,2.5,,,2022-04-03
2022-04-12,Dirty Dancing,1987,https://boxd.it/2KnsAH,4,Yes,,2022-04-11
2022-04-19,Fantastic Beasts: The Secrets of Dumbledore,2022,https://boxd.it/2LCrzn,3,,,2022-04-18
2022-04-26,The Northman,2022,https://boxd.it/2MOJfD,4.5,,,2022-04-25
2022-04-26,Dead Poets Society,1989,https://boxd.it/2MQVth,3.5,,,2022-04-25
2022-04-28,Drive My Car,2021,https://boxd.it/2NaMlj,4,,,2022-04-27
2022-05-05,Doctor Strange in the Multiverse of Madness,2022,https://boxd.it/2OoaRX,3,,,2022-05-05
2022-05-06,Moon Knight,2022,https://boxd.it/2OwxHR,3,,,2022-05-05
2022-05-07,CODA,2021,https://boxd.it/2OIsr9,5,,,2022-05-06
